battery_id,cycle,voltage,temperature,capacity,soh,rul,dT_dt,dV_dt,capacity_fade_pct,temp_roll_avg,volt_roll_avg,fault_type,Pressure,global_radiation,temp_mean(c),temp_min(c),temp_max(c),Wind_Speed,Wind_Bearing,normalized_label,Timestamp,Electricity_Consumed,Temperature,Humidity,Wind_Speed,Avg_Past_Consumption
B0005,1,3.53278107,32.53689092,1.861976462,1,167,0,0,6.901176916,32.53689092,3.53278107,Normal,971.5,0.25,9,7,10.7,0,0,0,01-01-2024 00:00,0.457785692,0.469524457,0.396368359,0.4454406,0.692057211
B0005,2,3.542967988,32.64359509,1.851862026,0.994567903,166,0.106704168,0.010186918,7.406898707,32.590243,3.537874529,Normal,972.3,0.97,10.5,6.7,13.5,0,0,0,01-01-2024 00:30,0.35195595,0.465544775,0.451184413,0.458729286,0.539873736
B0005,3,3.55305613,32.52252562,1.84080783,0.988631096,165,-0.121069468,0.010088141,7.959608506,32.56767054,3.542935063,Normal,972.4,0.74,6.5,3.9,9.1,0,0,0,01-01-2024 01:00,0.48294809,0.28541499,0.40828897,0.470360413,0.614723961
B0005,4,3.54584852,32.49208273,1.850058172,0.993599119,164,-0.030442884,-0.00720761,7.497091405,32.54877359,3.543663427,Normal,973.2,0.15,5.1,3.7,7.7,0,0,0,01-01-2024 01:30,0.628838309,0.482095087,0.512308397,0.576241387,0.757044352
B0005,5,3.544456056,32.36861158,1.849432496,0.993263091,163,-0.123471158,-0.001392464,7.528375197,32.51274119,3.543821953,Normal,975.7,0.12,5.2,2.6,8.3,0,0,0,01-01-2024 02:00,0.335974438,0.624740948,0.672020668,0.373003791,0.673980949
B0005,6,3.555518011,32.25124162,1.84113789,0.988808359,162,-0.117369955,0.011061955,7.943105508,32.45561133,3.548369341,Normal,975.9,0.18,4.9,3.8,7.4,0,0,0,01-01-2024 02:30,0.335977174,0.355389381,0.382767423,0.361111263,0.618606659
B0005,7,3.55039174,32.36619211,1.840621408,0.988530975,161,0.114950495,-0.005126271,7.968929602,32.40013073,3.549854092,Normal,976.8,0.27,5.8,4.4,7.1,0,0,1,01-01-2024 03:00,0.638202136,0.667102279,0.643163539,0.611003511,0.703225129
B0005,8,3.557436451,32.36748862,1.83116383,0.983451653,160,0.001296502,0.007044711,8.441808522,32.36912333,3.550730156,Normal,976.8,0.35,9.2,7.7,9.2,0,0,0,01-01-2024 03:30,0.502905788,0.591854183,0.381205232,0.407143788,0.718049846
B0005,9,3.553496939,32.33964837,1.839545835,0.987953324,159,-0.027840252,-0.003939512,8.022708243,32.33863646,3.55225984,Normal,977.3,0.59,11.2,9.3,13.2,0,0,0,01-01-2024 04:00,0.296754269,0.427858283,0.371512346,0.311121415,0.663703186
B0005,10,3.557887852,32.19118047,1.830019077,0.982836848,158,-0.148467899,0.004390912,8.499046172,32.30315024,3.554946199,Normal,977.7,0.64,9,5.4,12.1,0,0,0,01-01-2024 04:30,0.465426674,0.507400285,0.616383297,0.404446252,0.668736139
B0005,11,3.556347544,32.06812818,1.830001571,0.982827446,157,-0.123052287,-0.001540308,8.499921453,32.26652755,3.555112105,Normal,978.9,0.14,2.4,0.6,4.7,0,0,0,01-01-2024 05:00,0.297763718,0.740891777,0.631570587,0.42305077,0.622713727
B0005,12,3.560471978,32.34766009,1.828990962,0.982284685,156,0.279531908,0.004124435,8.550451905,32.26282114,3.557128153,Normal,979.1,0.18,8.5,6.5,9.6,0,0,0,01-01-2024 05:30,0.297378374,0.624837403,0.621205895,0.649194925,0.607017185
B0005,13,3.560356688,32.28360689,1.819097595,0.976971317,155,-0.064053194,-0.000115291,9.045120231,32.2460448,3.5577122,Normal,979.2,0.86,10.4,7.8,13.6,0,0,1,01-01-2024 06:00,0.415327045,0.527572625,0.302709214,0.573597832,0.587569334
